ensemblID	symbol
ENSG00000165684	SNAPC4
ENSG00000112096	SOD2
ENSG00000134595	SOX3
ENSG00000100146	SOX10
ENSG00000129194	SOX15
ENSG00000177732	SOX12
ENSG00000105866	SP4
ENSG00000072310	SREBF1
ENSG00000149136	SSRP1
ENSG00000170581	STAT2
ENSG00000168610	STAT3
ENSG00000126561	STAT5A
ENSG00000173757	STAT5B
ENSG00000166888	STAT6
ENSG00000213246	SUPT4H1
ENSG00000148297	MED22
ENSG00000276234	TADA2A
ENSG00000106290	TAF6
ENSG00000162367	TAL1
ENSG00000059588	TARBP1
ENSG00000184058	TBX1
ENSG00000112592	TBP
ENSG00000154582	ELOC
ENSG00000011007	ELOA
ENSG00000135111	TBX3
ENSG00000135100	HNF1A
ENSG00000148737	TCF7L2
ENSG00000148516	ZEB1
ENSG00000140262	TCF12
ENSG00000125878	TCF15
ENSG00000169131	ZNF354A
ENSG00000197905	TEAD4
ENSG00000007866	TEAD3
ENSG00000167074	TEF
ENSG00000147601	TERF1
ENSG00000132604	TERF2
ENSG00000137203	TFAP2A
ENSG00000087510	TFAP2C
ENSG00000135457	TFCP2
ENSG00000185551	NR2F2
ENSG00000198176	TFDP1
ENSG00000163235	TGFA
ENSG00000126351	THRA
ENSG00000151923	TIAL1
ENSG00000232810	TNF
ENSG00000100084	HIRA
ENSG00000074966	TXK
ENSG00000108312	UBTF
ENSG00000109424	UCP1
ENSG00000158773	USF1
ENSG00000112715	VEGFA
ENSG00000184937	WT1
ENSG00000100811	YY1
ENSG00000136866	ZFP37
ENSG00000005889	ZFX
ENSG00000067646	ZFY
ENSG00000275111	ZNF2
ENSG00000166526	ZNF3
ENSG00000147180	ZNF711
ENSG00000147789	ZNF7
ENSG00000256223	ZNF10
ENSG00000164631	ZNF12
ENSG00000105708	ZNF14
ENSG00000182141	ZNF708
ENSG00000170631	ZNF16
ENSG00000186272	ZNF17
ENSG00000154957	ZNF18
ENSG00000157429	ZNF19
ENSG00000132010	ZNF20
ENSG00000147118	ZNF182
ENSG00000165512	ZNF22
ENSG00000167377	ZNF23
ENSG00000198393	ZNF26
ENSG00000198538	ZNF28
ENSG00000169740	ZNF32
ENSG00000189180	ZNF33A
ENSG00000196693	ZNF33B
ENSG00000169981	ZNF35
ENSG00000106261	ZKSCAN1
ENSG00000075407	ZNF37A
ENSG00000147124	ZNF41
ENSG00000198521	ZNF43
ENSG00000124459	ZNF45
ENSG00000089775	ZBTB25
ENSG00000160229	ZNF66
ENSG00000198429	ZNF69
ENSG00000187792	ZNF70
ENSG00000185252	ZNF74
ENSG00000186376	ZNF75D
ENSG00000162086	ZNF75A
ENSG00000065029	ZNF76
ENSG00000196152	ZNF79
ENSG00000174255	ZNF80
ENSG00000198040	ZNF84
ENSG00000159905	ZNF221
ENSG00000105750	ZNF85
ENSG00000213988	ZNF90
ENSG00000167232	ZNF91
ENSG00000213973	ZNF99
ENSG00000159885	ZNF222
ENSG00000197961	ZNF121
ENSG00000196418	ZNF124
ENSG00000131849	ZNF132
ENSG00000125846	ZNF133
ENSG00000213762	ZNF134
ENSG00000176293	ZNF135
ENSG00000197008	ZNF138
ENSG00000131127	ZNF141
ENSG00000115568	ZNF142
ENSG00000166478	ZNF143
ENSG00000167635	ZNF146
ENSG00000179909	ZNF154
ENSG00000204920	ZNF155
ENSG00000136451	VEZF1
ENSG00000197279	ZNF165
ENSG00000167384	ZNF180
ENSG00000096654	ZNF184
ENSG00000198315	ZKSCAN8
ENSG00000137185	ZSCAN9
ENSG00000005801	ZNF195
ENSG00000010539	ZNF200
ENSG00000160321	ZNF208
ENSG00000085644	ZNF213
ENSG00000149050	ZNF214
ENSG00000149054	ZNF215
ENSG00000256294	ZNF225
ENSG00000167380	ZNF226
ENSG00000131115	ZNF227
ENSG00000278318	ZNF229
ENSG00000159882	ZNF230
ENSG00000167840	ZNF232
ENSG00000130856	ZNF236
ENSG00000198205	ZXDA
ENSG00000124795	DEK
ENSG00000170260	ZNF212
ENSG00000169925	BRD3
ENSG00000175592	FOSL1
ENSG00000126012	KDM5C
ENSG00000012817	KDM5D
ENSG00000117713	ARID1A
ENSG00000170265	ZNF282
ENSG00000171794	UTF1
ENSG00000109101	FOXN1
ENSG00000153147	SMARCA5
ENSG00000147162	OGT
ENSG00000070061	ELP1
ENSG00000105176	URI1
ENSG00000143162	CREG1
ENSG00000102804	TSC22D1
ENSG00000009954	BAZ1B
ENSG00000143178	TBX19
ENSG00000124831	LRRFIP1
ENSG00000093167	LRRFIP2
ENSG00000164611	PTTG1
ENSG00000236104	ZBTB22
ENSG00000159917	ZNF235
ENSG00000144021	CIAO1
ENSG00000083844	ZNF264
ENSG00000112282	MED23
ENSG00000042429	MED17
ENSG00000105085	MED26
ENSG00000160563	MED27
ENSG00000155868	MED7
ENSG00000121075	TBX4
ENSG00000179222	MAGED1
ENSG00000189067	LITAF
ENSG00000006704	GTF2IRD1
ENSG00000134852	CLOCK
ENSG00000146592	CREB5
ENSG00000013561	RNF14
ENSG00000166716	ZNF592
ENSG00000101493	ZNF516
ENSG00000256087	ZNF432
ENSG00000167395	ZNF646
ENSG00000158691	ZSCAN12
ENSG00000272333	KMT2B
ENSG00000198846	TOX
ENSG00000196428	TSC22D2
ENSG00000183309	ZNF623
ENSG00000177853	ZNF518A
ENSG00000092203	TOX4
ENSG00000166860	ZBTB39
ENSG00000100426	ZBED4
ENSG00000184677	ZBTB40
ENSG00000177485	ZBTB33
ENSG00000175221	MED16
ENSG00000013619	MAMLD1
ENSG00000175215	CTDSP2
ENSG00000186448	ZNF197
ENSG00000152454	ZNF256
ENSG00000144677	CTDSPL
ENSG00000180855	ZNF443
ENSG00000176842	IRX5
ENSG00000070404	FSTL3
ENSG00000150459	SAP18
ENSG00000185947	ZNF267
ENSG00000064961	HMG20B
ENSG00000213928	IRF9
ENSG00000121417	ZNF211
ENSG00000100201	DDX17
ENSG00000109854	HTATIP2
ENSG00000156256	USP16
ENSG00000162227	TAF6L
ENSG00000117139	KDM5B
ENSG00000186130	ZBTB6
ENSG00000263002	ZNF234
ENSG00000174652	ZNF266
ENSG00000171606	ZNF274
ENSG00000198039	ZNF273
ENSG00000197714	ZNF460
ENSG00000063587	ZNF275
ENSG00000080603	SRCAP
ENSG00000112983	BRD8
ENSG00000113387	SUB1
ENSG00000170653	ATF7
ENSG00000039600	SOX30
ENSG00000126856	PRDM7
ENSG00000125285	SOX21
ENSG00000198554	WDHD1
ENSG00000198604	BAZ1A
ENSG00000198839	ZNF277
ENSG00000159210	SNF8
ENSG00000106536	POU6F2
ENSG00000161405	IKZF3
ENSG00000198740	ZNF652
ENSG00000120784	ZFP30
ENSG00000168813	ZNF507
ENSG00000101544	ADNP2
ENSG00000081386	ZNF510
ENSG00000182606	TRAK1
ENSG00000118217	ATF6
ENSG00000100603	SNW1
ENSG00000173120	KDM2A
ENSG00000113716	HMGXB3
ENSG00000004487	KDM1A
ENSG00000186487	MYT1L
ENSG00000180357	ZNF609
ENSG00000107077	KDM4C
ENSG00000169155	ZBTB43
ENSG00000108509	CAMTA2
ENSG00000143442	POGZ
ENSG00000014164	ZC3H3
ENSG00000130749	ZC3H4
ENSG00000174197	MGA
ENSG00000102870	ZNF629
ENSG00000101126	ADNP
ENSG00000171540	OTP
ENSG00000153048	CARHSP1
ENSG00000269699	ZIM2
ENSG00000196652	ZKSCAN5
ENSG00000083812	ZNF324
ENSG00000137709	POU2F3
ENSG00000153207	AHCTF1
ENSG00000198795	ZNF521
ENSG00000161642	ZNF385A
ENSG00000036549	
ENSG00000152217	SETBP1
ENSG00000103199	ZNF500
ENSG00000274349	ZNF658
ENSG00000130684	ZNF337
ENSG00000109911	ELP4
ENSG00000105856	HBP1
ENSG00000267508	ZNF285
ENSG00000105821	DNAJC2
ENSG00000114861	FOXP1
ENSG00000066422	ZBTB11
ENSG00000196453	ZNF777
ENSG00000256463	SALL3
ENSG00000198131	ZNF544
ENSG00000180828	BHLHE22
ENSG00000103460	TOX3
ENSG00000102241	HTATSF1
ENSG00000156802	ATAD2
ENSG00000196323	ZBTB44
ENSG00000166164	BRD7
ENSG00000146109	ABT1
ENSG00000118900	UBN1
ENSG00000111727	HCFC2
ENSG00000142182	DNMT3L
ENSG00000123636	BAZ2B
ENSG00000164438	TLX3
ENSG00000100987	VSX1
ENSG00000115041	KCNIP3
ENSG00000154832	CXXC1
ENSG00000177932	ZNF354C
ENSG00000173276	ZBTB21
ENSG00000138375	SMARCAL1
ENSG00000104177	MYEF2
ENSG00000113430	IRX4
ENSG00000176946	THAP4
ENSG00000006047	YBX2
ENSG00000213015	ZNF580
ENSG00000206181	ELOA2
ENSG00000025293	PHF20
ENSG00000183434	TFDP3
ENSG00000179965	ZNF771
ENSG00000152926	ZNF117
ENSG00000077080	ACTL6B
ENSG00000196247	ZNF107
ENSG00000167157	PRRX2
ENSG00000171425	ZNF581
ENSG00000099917	MED15
ENSG00000197857	ZNF44
ENSG00000056586	RC3H2
ENSG00000236609	ZNF853
ENSG00000173068	BNC2
ENSG00000130772	MED18
ENSG00000083828	ZNF586
ENSG00000171466	ZNF562
ENSG00000137871	ZNF280D
ENSG00000116580	GON4L
ENSG00000130940	CASZ1
ENSG00000140987	ZSCAN32
ENSG00000198146	ZNF770
ENSG00000176371	ZSCAN2
ENSG00000135045	C9orf40
ENSG00000141026	MED9
ENSG00000134014	ELP3
ENSG00000074657	ZNF532
ENSG00000138686	BBS7
ENSG00000134759	ELP2
ENSG00000121390	PSPC1
ENSG00000175105	ZNF654
ENSG00000167685	ZNF444
ENSG00000129534	MIS18BP1
ENSG00000130844	ZNF331
ENSG00000197933	ZNF823
ENSG00000056277	ZNF280C
ENSG00000215421	ZNF407
ENSG00000083817	ZNF416
ENSG00000083838	ZNF446
ENSG00000198185	ZNF334
ENSG00000020256	ZFP64
ENSG00000117625	RCOR3
ENSG00000167562	ZNF701
ENSG00000167766	ZNF83
ENSG00000170954	ZNF415
ENSG00000124496	TRERF1
ENSG00000196345	ZKSCAN7
ENSG00000085274	MYNN
ENSG00000186918	ZNF395
ENSG00000089335	ZNF302
ENSG00000256771	ZNF253
ENSG00000176009	ASCL3
ENSG00000129028	THAP10
ENSG00000029153	ARNTL2
ENSG00000173320	STOX2
ENSG00000152784	PRDM8
ENSG00000164256	PRDM9
ENSG00000170325	PRDM10
ENSG00000114439	BBX
ENSG00000197472	ZNF695
ENSG00000124201	ZNFX1
ENSG00000198105	ZNF248
ENSG00000187607	ZNF286A
ENSG00000141040	ZNF287
ENSG00000196700	ZNF512B
ENSG00000188033	ZNF490
ENSG00000049618	ARID1B
ENSG00000197024	ZNF398
ENSG00000197566	ZNF624
ENSG00000166188	ZNF319
ENSG00000196263	ZNF471
ENSG00000007545	CRAMP1
ENSG00000143373	ZNF687
ENSG00000229676	ZNF492
ENSG00000142065	ZFP14
ENSG00000171448	ZBTB26
ENSG00000130803	ZNF317
ENSG00000186020	ZNF529
ENSG00000146587	RBAK
ENSG00000157259	GATAD1
ENSG00000188290	HES4
ENSG00000119725	ZNF410
ENSG00000123307	NEUROD4
ENSG00000230257	NFE4
ENSG00000144579	CTDSP1
ENSG00000236287	ZBED5
ENSG00000137504	CREBZF
ENSG00000175691	ZNF77
ENSG00000196150	ZNF250
ENSG00000064218	DMRT3
ENSG00000011451	WIZ
ENSG00000127124	HIVEP3
ENSG00000130711	PRDM12
ENSG00000165495	PKNOX2
ENSG00000198026	ZNF335
ENSG00000198046	ZNF667
ENSG00000142025	DMRTC2
ENSG00000269502	DMRTC1
ENSG00000143006	DMRTB1
ENSG00000142700	DMRTA2
ENSG00000176399	DMRTA1
ENSG00000178403	NEUROG2
ENSG00000136770	DNAJC1
ENSG00000235109	ZSCAN31
ENSG00000069275	NUCKS1
ENSG00000105732	ZNF574
ENSG00000159556	ISL2
ENSG00000187801	ZFP69B
ENSG00000169955	ZNF747
ENSG00000115993	TRAK2
ENSG00000197343	ZNF655
ENSG00000184967	NOC4L
ENSG00000116455	WDR77
ENSG00000130818	ZNF426
ENSG00000131848	ZSCAN5A
ENSG00000088876	ZNF343
ENSG00000124444	ZNF576
ENSG00000159387	IRX6
ENSG00000177508	IRX3
ENSG00000130544	ZNF557
ENSG00000070476	ZXDC
ENSG00000177494	ZBED2
ENSG00000181894	ZNF329
ENSG00000181315	ZNF322
ENSG00000169957	ZNF768
ENSG00000168152	THAP9
ENSG00000105136	ZNF419
ENSG00000197497	ZNF665
ENSG00000175213	ZNF408
ENSG00000123607	TTC21B
ENSG00000178935	ZNF552
ENSG00000188295	ZNF669
ENSG00000083814	ZNF671
ENSG00000171161	ZNF672
ENSG00000185730	ZNF696
ENSG00000198342	ZNF442
ENSG00000172000	ZNF556
ENSG00000166704	ZNF606
ENSG00000198939	ZFP2
ENSG00000142556	ZNF614
ENSG00000102901	CENPT
ENSG00000118620	ZNF430
ENSG00000196812	ZSCAN16
ENSG00000105717	PBX4
ENSG00000184436	THAP7
ENSG00000196378	ZNF34
ENSG00000125945	ZNF436
ENSG00000186660	ZFP91
ENSG00000166925	TSC22D4
ENSG00000213020	ZNF611
ENSG00000184635	ZNF93
ENSG00000173451	THAP2
ENSG00000127081	ZNF484
ENSG00000136492	BRIP1
ENSG00000174963	ZIC4
ENSG00000160908	ZNF394
ENSG00000122482	ZNF644
ENSG00000118156	ZNF541
ENSG00000186812	ZNF397
ENSG00000133250	ZNF414
ENSG00000167555	ZNF528
ENSG00000160961	ZNF333
ENSG00000243943	ZNF512
ENSG00000196233	LCOR
ENSG00000171476	HOPX
ENSG00000188321	ZNF559
ENSG00000131721	RHOXF2
ENSG00000185278	ZBTB37
ENSG00000180626	ZNF594
ENSG00000225614	ZNF469
ENSG00000197937	ZNF347
ENSG00000168348	INSM2
ENSG00000161551	ZNF577
ENSG00000198182	ZNF607
ENSG00000162714	ZNF496
ENSG00000144026	ZNF514
ENSG00000119574	ZBTB45
ENSG00000130182	ZSCAN10
ENSG00000131061	ZNF341
ENSG00000161298	ZNF382
ENSG00000198466	ZNF587
ENSG00000179943	FIZ1
ENSG00000186017	ZNF566
ENSG00000139800	ZIC5
ENSG00000178163	ZNF518B
ENSG00000179528	LBX2
ENSG00000197483	ZNF628
ENSG00000168661	ZNF30
ENSG00000204519	ZNF551
ENSG00000153779	TGIF2LX
ENSG00000204611	ZNF616
ENSG00000196214	ZNF766
ENSG00000041988	THAP3
ENSG00000204604	ZNF468
ENSG00000170949	ZNF160
ENSG00000173545	ZNF622
ENSG00000196466	ZNF799
ENSG00000257591	ZNF625
ENSG00000196757	ZNF700
ENSG00000171291	ZNF439
ENSG00000176679	TGIF2LY
ENSG00000185177	ZNF479
ENSG00000143067	ZNF697
ENSG00000198169	ZNF251
ENSG00000197124	ZNF682
ENSG00000196653	ZNF502
ENSG00000175329	ISX
ENSG00000196417	ZNF765
ENSG00000213799	ZNF845
ENSG00000156030	ELMSAN1
ENSG00000197808	ZNF461
ENSG00000169951	ZNF764
ENSG00000158805	ZNF276
ENSG00000114853	ZBTB47
ENSG00000171469	ZNF561
ENSG00000061455	PRDM6
ENSG00000185404	SP140L
ENSG00000277462	ZNF670
ENSG00000181896	ZNF101
ENSG00000159479	MED8
ENSG00000197134	ZNF257
ENSG00000141946	ZIM3
ENSG00000157657	ZNF618
ENSG00000172006	ZNF554
ENSG00000156853	ZNF689
ENSG00000161914	ZNF653
ENSG00000168062	BATF2
ENSG00000137166	FOXP4
ENSG00000167625	ZNF526
ENSG00000152475	ZNF837
ENSG00000184221	OLIG1
ENSG00000126733	DACH2
ENSG00000198546	ZNF511
ENSG00000167528	ZNF641
ENSG00000170374	SP7
ENSG00000187855	ASCL4
ENSG00000139445	FOXN4
ENSG00000197302	ZNF720
ENSG00000180787	ZFP3
ENSG00000180257	ZNF816
ENSG00000178229	ZNF543
ENSG00000198346	ZNF813
ENSG00000197044	ZNF441
ENSG00000177599	ZNF491
ENSG00000171295	ZNF440
ENSG00000142409	ZNF787
ENSG00000171970	ZNF57
ENSG00000180884	ZNF792
ENSG00000117010	ZNF684
ENSG00000179930	ZNF648
ENSG00000171872	KLF17
ENSG00000125533	BHLHE23
ENSG00000169548	ZNF280A
ENSG00000163795	ZNF513
ENSG00000179059	ZFP42
ENSG00000152409	JMY
ENSG00000248483	POU5F2
ENSG00000106410	NOBOX
ENSG00000197362	ZNF786
ENSG00000180938	ZNF572
ENSG00000122728	TAF1L
ENSG00000165259	HDX
ENSG00000189299	FOXR2
ENSG00000189420	ZFP92
ENSG00000198816	ZNF358
ENSG00000196867	ZFP28
ENSG00000130584	ZBTB46
ENSG00000275004	ZNF280B
ENSG00000179195	ZNF664
ENSG00000188095	MESP2
ENSG00000140265	ZSCAN29
ENSG00000197162	ZNF785
ENSG00000198464	ZNF480
ENSG00000198633	ZNF534
ENSG00000196724	ZNF418
ENSG00000173480	ZNF417
ENSG00000188785	ZNF548
ENSG00000198028	ZNF560
ENSG00000171443	ZNF524
ENSG00000188868	ZNF563
ENSG00000197050	ZNF420
ENSG00000196357	ZNF565
ENSG00000018869	ZNF582
ENSG00000198440	ZNF583
ENSG00000153896	ZNF599
ENSG00000167785	ZNF558
ENSG00000197360	ZNF98
ENSG00000196172	ZNF681
ENSG00000186300	ZNF555
ENSG00000196437	ZNF569
ENSG00000171827	ZNF570
ENSG00000160094	ZNF362
ENSG00000163792	TCF23
ENSG00000170448	NFXL1
ENSG00000272602	ZNF595
ENSG00000174796	THAP6
ENSG00000204947	ZNF425
ENSG00000173258	ZNF483
ENSG00000196597	ZNF782
ENSG00000198455	ZXDB
ENSG00000101883	RHOXF1
ENSG00000184517	ZFP1
ENSG00000175322	ZNF519
ENSG00000183791	ELOA3
ENSG00000196267	ZNF836
ENSG00000167554	ZNF610
ENSG00000189190	ZNF600
ENSG00000182986	ZNF320
ENSG00000251369	ZNF550
ENSG00000196605	ZNF846
ENSG00000218891	ZNF579
ENSG00000173875	ZNF791
ENSG00000242852	ZNF709
ENSG00000197647	ZNF433
ENSG00000178150	ZNF114
ENSG00000189042	ZNF567
ENSG00000188283	ZNF383
ENSG00000196381	ZNF781
ENSG00000196109	ZNF676
ENSG00000197020	ZNF100
ENSG00000171817	ZNF540
ENSG00000146757	ZNF92
ENSG00000197123	ZNF679
ENSG00000177683	THAP5
ENSG00000181444	ZNF467
ENSG00000048405	ZNF800
ENSG00000172748	ZNF596
ENSG00000175787	ZNF169
ENSG00000180613	GSX2
ENSG00000203326	ZNF525
ENSG00000182903	ZNF721
ENSG00000126746	ZNF384
ENSG00000165244	ZNF367
ENSG00000189079	ARID2
ENSG00000170100	ZNF778
ENSG00000180035	ZNF48
ENSG00000198551	ZNF627
ENSG00000196967	ZNF585A
ENSG00000161277	THAP8
ENSG00000188171	ZNF626
ENSG00000171574	ZNF584
ENSG00000173275	ZNF449
ENSG00000154227	CERS3
ENSG00000176542	USF3
ENSG00000175395	ZNF25
ENSG00000179774	ATOH7
ENSG00000204366	ZBTB12
ENSG00000197037	ZSCAN25
ENSG00000187987	ZSCAN23
ENSG00000186496	ZNF396
ENSG00000177842	ZNF620
ENSG00000172292	CERS6
ENSG00000178177	LCORL
ENSG00000121406	ZNF549
ENSG00000176083	ZNF683
ENSG00000197935	ZNF311
ENSG00000150051	MKX
ENSG00000176302	FOXR1
ENSG00000167771	RCOR2
ENSG00000152433	ZNF547
ENSG00000171649	ZIK1
ENSG00000152443	ZNF776
ENSG00000152467	ZSCAN1
ENSG00000176472	ZNF575
ENSG00000167637	ZNF283
ENSG00000178928	TPRX1
ENSG00000197619	ZNF615
ENSG00000197608	ZNF841
ENSG00000197054	ZNF763
ENSG00000223547	ZNF844
ENSG00000181007	ZFP82
ENSG00000196268	ZNF493
ENSG00000181666	HKR1
ENSG00000177873	ZNF619
ENSG00000172888	ZNF621
ENSG00000178917	ZNF852
ENSG00000144792	ZNF660
ENSG00000178187	ZNF454
ENSG00000196456	ZNF775
ENSG00000198556	ZNF789
ENSG00000181135	ZNF707
ENSG00000181638	ZFP41
ENSG00000158427	TMSB15B
ENSG00000119614	VSX2
ENSG00000197841	ZNF181
ENSG00000254004	ZNF260
ENSG00000187187	ZNF546
ENSG00000181450	ZNF678
ENSG00000187815	ZFP69
ENSG00000173041	ZNF680
ENSG00000164853	UNCX
ENSG00000197363	ZNF517
ENSG00000188620	HMX3
ENSG00000196391	ZNF774
ENSG00000155592	ZKSCAN2
ENSG00000213921	LEUTX
ENSG00000176222	ZNF404
ENSG00000186026	ZNF284
ENSG00000197928	ZNF677
ENSG00000197213	ZSCAN5B
ENSG00000182318	ZSCAN22
ENSG00000214513	NOTO
ENSG00000174279	EVX2
ENSG00000197385	ZNF860
ENSG00000234284	ZNF879
ENSG00000124613	ZNF391
ENSG00000204644	ZFP57
ENSG00000197779	ZNF81
ENSG00000167800	TBX10
ENSG00000183647	ZNF530
ENSG00000180438	TPRXL
ENSG00000178665	ZNF713
ENSG00000197013	ZNF429
ENSG00000185219	ZNF445
ENSG00000159915	ZNF233
ENSG00000177888	ZBTB41
ENSG00000205857	NANOGNB
ENSG00000140548	ZNF710
ENSG00000196110	ZNF699
ENSG00000185869	ZNF829
ENSG00000188177	ZC3H6
ENSG00000187626	ZKSCAN4
ENSG00000182521	TBPL2
NA	NA
ENSG00000197863	ZNF790
ENSG00000198482	ZNF808
ENSG00000186230	ZNF749
ENSG00000249471	ZNF324B
ENSG00000182983	ZNF662
ENSG00000188227	ZNF793
ENSG00000204524	ZNF805
ENSG00000161920	MED11
ENSG00000221923	ZNF880
ENSG00000197128	ZNF772
ENSG00000177125	ZBTB34
ENSG00000230797	YY2
ENSG00000196946	ZNF705A
ENSG00000081665	ZNF506
ENSG00000196081	ZNF724
ENSG00000182111	ZNF716
ENSG00000214652	ZNF727
ENSG00000186103	ARGFX
ENSG00000204595	DPRX
ENSG00000258873	DUXA
ENSG00000164684	ZNF704
ENSG00000251192	ZNF674
ENSG00000243660	ZNF487
ENSG00000196670	ZFP62
ENSG00000165606	DRGX
NA	NA
ENSG00000227059	ANHX
ENSG00000204532	ZSCAN5C
ENSG00000186777	ZNF732
ENSG00000205899	BHLHA9
ENSG00000203989	RHOXF2B
ENSG00000273274	ZBTB8B
ENSG00000184911	DMRTC1B
ENSG00000234444	ZNF736
ENSG00000278674	ELOA3B
ENSG00000215343	ZNF705D
ENSG00000249459	ZNF286B
ENSG00000257446	ZNF878
ENSG00000204514	ZNF814
ENSG00000213967	ZNF726
NA	NA
ENSG00000186814	ZSCAN30
ENSG00000183850	ZNF730
ENSG00000237440	ZNF737
ENSG00000214534	ZNF705E
ENSG00000227124	ZNF717
ENSG00000215372	ZNF705G
ENSG00000204060	FOXO6
ENSG00000273604	EPOP
ENSG00000196350	ZNF729
ENSG00000196458	ZNF605
ENSG00000269343	ZNF587B
ENSG00000257315	ZBED6
ENSG00000274744	ELOA3D
ENSG00000214029	ZNF891
ENSG00000275553	ELOA3C
ENSG00000152926	ZNF117
ENSG00000186448	ZNF197
